#Source = https://coinmarketcap.com/all/views/all/,Retrieved: 21/10/20,,,,,,,,,,
Rank,Name,Symbol,Market Cap,Markey Cap (cleaned),Price,Circulating Supply,Circulating (cleaned),Volume (24h),% 1h,% 24h,% 7d
1,Bitcoin,BTC,"$225,970,487,355 ",2.2597E+11,"$12,199.63 ","18,522,731 BTC",18522731,"$34,657,706,300 ",1.82%,4.20%,6.71%
2,Ethereum,ETH,"$42,836,743,740 ",42836743740,$378.78 ,"113,091,410 ETH",113091410,"$16,392,236,320 ",2.03%,-0.12%,-1.12%
3,Tether,USDT,"$15,918,836,179 ",15918836179,$1.00 ,"15,897,187,815 USDT *",15897187815,"$49,302,683,259 ",0.01%,0.06%,0.03%
4,XRP,XRP,"$11,174,176,677 ",11174176677,$0.25 ,"45,248,061,374 XRP *",45248061374,"$1,625,850,810 ",0.84%,0.61%,-4.07%
5,Bitcoin Cash,BCH,"$4,658,012,715 ",4658012715,$251.10 ,"18,550,144 BCH",18550144,"$2,430,374,003 ",2.70%,0.47%,-1.50%
6,Binance Coin,BNB,"$4,249,782,097 ",4249782097,$29.43 ,"144,406,561 BNB *",144406561,"$543,230,222 ",1.18%,-2.16%,-4.36%
7,Chainlink,LINK,"$4,026,622,964 ",4026622964,$10.36 ,"388,509,556 LINK *",388509556,"$1,401,628,985 ",3.67%,-4.42%,-6.74%
8,Polkadot,DOT,"$3,458,099,655 ",3458099655,$4.06 ,"852,647,705 DOT *",852647705,"$538,891,686 ",2.93%,1.83%,-4.53%
9,Cardano,ADA,"$3,248,541,900 ",3248541900,$0.10 ,"31,112,484,646 ADA",31112484646,"$774,051,353 ",1.04%,-3.80%,-4.93%
10,Litecoin,LTC,"$3,230,844,321 ",3230844321,$49.17 ,"65,712,140 LTC",65712140,"$1,879,191,876 ",3.90%,2.10%,-1.72%
11,Bitcoin SV,BSV,"$2,978,376,818 ",2978376818,$160.57 ,"18,548,589 BSV",18548589,"$1,033,017,060 ",1.27%,0.21%,-6.02%
12,USD Coin,USDC,"$2,738,178,324 ",2738178324,$1.00 ,"2,737,003,446 USDC *",2737003446,"$491,988,781 ",0.01%,0.00%,-0.01%
13,EOS,EOS,"$2,418,011,764 ",2418011764,$2.58 ,"937,072,284 EOS *",937072284,"$1,683,478,978 ",1.88%,-0.14%,-2.43%
14,Crypto.com Coin,CRO,"$2,198,398,464 ",2198398464,$0.11 ,"20,807,305,936 CRO *",20807305936,"$72,777,472 ",-1.15%,-3.74%,-28.40%
15,Monero,XMR,"$2,174,169,646 ",2174169646,$122.61 ,"17,731,774 XMR",17731774,"$1,271,327,017 ",3.79%,-2.26%,-7.00%
16,TRON,TRX,"$1,886,194,326 ",1886194326,$0.03 ,"71,659,657,369 TRX *",71659657369,"$1,796,328,043 ",1.21%,2.43%,-1.87%
17,Stellar,XLM,"$1,734,769,607 ",1734769607,$0.08 ,"20,851,495,088 XLM *",20851495088,"$224,258,653 ",0.81%,-2.70%,9.33%
18,Tezos,XTZ,"$1,576,250,707 ",1576250707,$2.11 ,"747,338,314 XTZ *",747338314,"$198,419,899 ",1.26%,-5.42%,-12.59%
19,Wrapped Bitcoin,WBTC,"$1,304,154,519 ",1304154519,"$12,212.79 ","106,786 WBTC *",106786,"$87,405,727 ",1.90%,4.31%,6.84%
20,Neo,NEO,"$1,230,542,560 ",1230542560,$17.44 ,"70,538,831 NEO *",70538831,"$580,133,463 ",1.95%,-0.65%,-0.70%
21,UNUS SED LEO,LEO,"$1,219,152,657 ",1219152657,$1.22 ,"999,498,893 LEO *",999498893,"$5,879,975 ",0.23%,0.71%,2.73%
22,Cosmos,ATOM,"$1,081,056,991 ",1081056991,$5.28 ,"204,663,071 ATOM *",204663071,"$267,869,662 ",2.70%,-3.75%,-12.12%
23,NEM,XEM,"$984,506,436 ",984506436,$0.11 ,"8,999,999,999 XEM *",8999999999,"$22,758,229 ",-0.85%,-2.60%,-11.03%
24,Huobi Token,HT,"$918,040,927 ",918040927,$4.43 ,"207,039,130 HT *",207039130,"$144,225,435 ",1.02%,0.84%,-5.55%
25,Dai,DAI,"$914,406,202 ",914406202,$1.01 ,"907,506,658 DAI *",907506658,"$104,906,760 ",0.03%,0.21%,-0.30%
26,Binance USD,BUSD,"$805,915,186 ",805915186,$1.00 ,"805,754,036 BUSD *",805754036,"$532,110,679 ",-0.02%,0.00%,0.02%
27,IOTA,MIOTA,"$751,504,416 ",751504416,$0.27 ,"2,779,530,283 MIOTA *",2779530283,"$8,806,045 ",1.42%,-0.83%,-5.29%
28,Dash,DASH,"$712,568,281 ",712568281,$72.94 ,"9,769,030 DASH",9769030,"$572,000,336 ",1.76%,-2.69%,2.06%
29,VeChain,VET,"$712,294,910 ",712294910,$0.01 ,"64,315,576,989 VET *",64315576989,"$110,070,521 ",1.75%,-1.90%,-3.50%
30,THETA,THETA,"$621,967,597 ",621967597,$0.62 ,"1,000,000,000 THETA *",1000000000,"$53,889,111 ",1.74%,-2.00%,-16.89%
31,Uniswap,UNI,"$632,794,041 ",632794041,$3.05 ,"207,630,621 UNI *",207630621,"$610,009,428 ",4.64%,-3.08%,-14.48%
32,Zcash,ZEC,"$617,915,063 ",617915063,$60.01 ,"10,296,213 ZEC",10296213,"$553,216,877 ",2.62%,-10.63%,-15.97%
